feature	cluster	type	synsets	rough_tag	tag	count	final_tag
to the selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
develop strong selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
tiffany strategic selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
and strong selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
your expert selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
service and selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
prospective clients selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
creative selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
consultative selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
your selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
valuable selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
expert selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
of creative selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
and utilizes selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
skills use selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
superior selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
utilizing your selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
possess valuable selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
possess superior selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
analytical and selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
the selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
use selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
use of selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
required strong selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
core selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
and consultative selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
and selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
developing personal selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
verbal selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
advanced selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
brand selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
