feature	cluster	type	synsets	rough_tag	tag	count	final_tag
service basic selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
possess advanced selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
exceptional selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
excellent selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
strong selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
utilizing professional selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
utilize consultative selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
benefit selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
or guest selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
use directive selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
use suggestive selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
clients selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
execute strong selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
strategic selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
and advanced selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
utilizes basic selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
strong merchandising skills	25	skills	[Synset('selling.n.01'), Synset('trade.v.01')]	selling.n.01	selling	90	sales
on selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
initiated selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
with proven selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
exceptional magic selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
transferred into selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
jewelry exceptional selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
personal selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
guest selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
professional selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
strong negotiation marketing skills	25	skills	[Synset('selling.n.01'), Synset('marketing.n.02'), Synset('marketing.n.03'), Synset('market.v.01'), Synset('market.v.02'), Synset('market.v.03'), Synset('commercialize.v.02')]	selling.n.01	selling	90	sales
develop personal selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
suggestive selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
utilizes selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
relationship selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
customer relationship selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
basic selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
strong persuasive selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
possesses strong selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
directive selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
negotiation marketing skills	25	skills	[Synset('selling.n.01'), Synset('marketing.n.02'), Synset('marketing.n.03'), Synset('market.v.01'), Synset('market.v.02'), Synset('market.v.03'), Synset('commercialize.v.02')]	selling.n.01	selling	90	sales
into selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
and marketing skills	25	skills	[Synset('selling.n.01'), Synset('marketing.n.02'), Synset('marketing.n.03'), Synset('market.v.01'), Synset('market.v.02'), Synset('market.v.03'), Synset('commercialize.v.02')]	selling.n.01	selling	90	sales
magic selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
of selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
corporate initiated selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
sales and marketing skills	25	skills	[Synset('selling.n.01'), Synset('marketing.n.02'), Synset('marketing.n.03'), Synset('market.v.01'), Synset('market.v.02'), Synset('market.v.03'), Synset('commercialize.v.02')]	selling.n.01	selling	90	sales
strong verbal selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
abilities consultative selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
preferred superior selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
preferred selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
presentation selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
proven selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
effective selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
persuasive selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
training on selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
practices effective selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
strong presentation selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
outlet selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
marketing skills	25	skills	[Synset('selling.n.01'), Synset('marketing.n.02'), Synset('marketing.n.03'), Synset('market.v.01'), Synset('market.v.02'), Synset('market.v.03'), Synset('commercialize.v.02')]	selling.n.01	selling	90	sales
skills benefit selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
on core selling skills	25	skills	[Synset('selling.n.01'), Synset('sell.v.01'), Synset('sell.v.02'), Synset('sell.v.03'), Synset('deal.v.06'), Synset('sell.v.05'), Synset('sell.v.06'), Synset('sell.v.07'), Synset('betray.v.02')]	selling.n.01	selling	90	sales
center environment interpersonal skills	25	skills	[Synset('interpersonal.s.01')]	interpersonal.s.01	interpersonal	85	interpersonal 
too strong interpersonal skills	25	skills	[Synset('interpersonal.s.01')]	interpersonal.s.01	interpersonal	85	interpersonal 
skills interpersonal skills	25	skills	[Synset('interpersonal.s.01')]	interpersonal.s.01	interpersonal	85	interpersonal 
of interpersonal skills	25	skills	[Synset('interpersonal.s.01')]	interpersonal.s.01	interpersonal	85	interpersonal 
leadership and interpersonal skills	25	skills	[Synset('interpersonal.s.01')]	interpersonal.s.01	interpersonal	85	interpersonal 
extraordinary interpersonal skills	25	skills	[Synset('interpersonal.s.01')]	interpersonal.s.01	interpersonal	85	interpersonal 
follow up interpersonal skills	25	skills	[Synset('interpersonal.s.01')]	interpersonal.s.01	interpersonal	85	interpersonal 
issues excellent interpersonal skills	25	skills	[Synset('interpersonal.s.01')]	interpersonal.s.01	interpersonal	85	interpersonal 
team interpersonal skills	25	skills	[Synset('interpersonal.s.01')]	interpersonal.s.01	interpersonal	85	interpersonal 
engagement and interpersonal skills	25	skills	[Synset('interpersonal.s.01')]	interpersonal.s.01	interpersonal	85	interpersonal 
and effective interpersonal skills	25	skills	[Synset('interpersonal.s.01')]	interpersonal.s.01	interpersonal	85	interpersonal 
organizational and interpersonal skills	25	skills	[Synset('interpersonal.s.01')]	interpersonal.s.01	interpersonal	85	interpersonal 
your interpersonal skills	25	skills	[Synset('interpersonal.s.01')]	interpersonal.s.01	interpersonal	85	interpersonal 
develops team interpersonal skills	25	skills	[Synset('interpersonal.s.01')]	interpersonal.s.01	interpersonal	85	interpersonal 
well as interpersonal skills	25	skills	[Synset('interpersonal.s.01')]	interpersonal.s.01	interpersonal	85	interpersonal 
your strong interpersonal skills	25	skills	[Synset('interpersonal.s.01')]	interpersonal.s.01	interpersonal	85	interpersonal 
preferred outstanding interpersonal skills	25	skills	[Synset('interpersonal.s.01')]	interpersonal.s.01	interpersonal	85	interpersonal 
customers excellent interpersonal skills	25	skills	[Synset('interpersonal.s.01')]	interpersonal.s.01	interpersonal	85	interpersonal 
oriented strong interpersonal skills	25	skills	[Synset('interpersonal.s.01')]	interpersonal.s.01	interpersonal	85	interpersonal 
as interpersonal skills	25	skills	[Synset('interpersonal.s.01')]	interpersonal.s.01	interpersonal	85	interpersonal 
applications exceptional interpersonal skills	25	skills	[Synset('interpersonal.s.01')]	interpersonal.s.01	interpersonal	85	interpersonal 
english fluent interpersonal skills	25	skills	[Synset('interpersonal.s.01')]	interpersonal.s.01	interpersonal	85	interpersonal 
as solid interpersonal skills	25	skills	[Synset('interpersonal.s.01')]	interpersonal.s.01	interpersonal	85	interpersonal 
fluent interpersonal skills	25	skills	[Synset('interpersonal.s.01')]	interpersonal.s.01	interpersonal	85	interpersonal 
with good interpersonal skills	25	skills	[Synset('interpersonal.s.01')]	interpersonal.s.01	interpersonal	85	interpersonal 
selling skills interpersonal skills	25	skills	[Synset('interpersonal.s.01')]	interpersonal.s.01	interpersonal	85	interpersonal 
have interpersonal skills	25	skills	[Synset('interpersonal.s.01')]	interpersonal.s.01	interpersonal	85	interpersonal 
mail interpersonal skills	25	skills	[Synset('interpersonal.s.01')]	interpersonal.s.01	interpersonal	85	interpersonal 
