cluster_2	new_type	feature	cluster	type
15	high,school	education preferred high	1	education
15	high,school	standards education high	1	education
15	high,school	education high school of	1	education
15	high,school	education high school or	1	education
15	high,school	hours education high	1	education
15	high,school	pounds education high	1	education
15	high,school	qualification standards education high	1	education
15	high,school	standards education high school	1	education
15	high,school	than high school education	1	education
15	high,school	education preferred high school	1	education
15	high,school	education less than high	1	education
15	high,school	education training high school	1	education
15	high,school	people person education high	1	education
15	high,school	person education high	1	education
15	high,school	person education high school	1	education
15	high,school	educational background high	1	education
15	high,school	education level high school	1	education
15	high,school	40 hours education high	1	education
15	high,school	educational background high school	1	education
15	high,school	lakewood education preferred high	1	education
15	high,school	education skills high	1	education
15	high,school	education skills high school	1	education
15	high,school	education professional certifications high	1	education
15	high,school	education certifications high school	1	education
15	high,school	skills high school education	1	education
15	high,school	education certifications high	1	education
15	high,school	education beyond the high	1	education
15	high,school	70 pounds education high	1	education
15	high,school	tasks education high	1	education
15	high,school	high school education special	1	education
15	high,school	hours education high school	1	education
15	high,school	educational level high school	1	education
15	high,school	educational institutions from high	1	education
15	high,school	pounds education high school	1	education
15	high,school	amarillo education preferred high	1	education
15	high,school	tasks education high school	1	education
15	high,school	pounds high school education	1	education
15	high,school	training education high school	1	education
15	high,school	and or education high	1	education
15	high,school	work independently education high	1	education
15	high,school	necessary education high school	1	education
15	high,school	necessary education high	1	education
15	high,school	independently education high school	1	education
15	high,school	not necessary education high	1	education
15	high,school	analyses qualifications education high	1	education
15	high,school	manager education high school	1	education
15	high,school	high school education required	1	education
15	high,school	high school education high	1	education
15	high,school	high school education and	1	education
15	high,school	highest education high	1	education
15	high,school	highest education high school	1	education
15	high,school	independently education high	1	education
15	high,school	and education high school	1	education
15	high,school	and education high	1	education
15	high,school	high school education or	1	education
15	high,school	formal education high	1	education
15	high,school	or education high	1	education
15	high,school	school education high	1	education
15	high,school	park education preferred high	1	education
15	high,school	partial high school education	1	education
15	high,school	specific tasks education high	1	education
15	high,school	education high school diploma	1	education
15	high,school	qualifications education high	1	education
15	high,school	qualificationsa education skills high	1	education
15	high,school	qualifications education high school	1	education
15	high,school	school education high school	1	education
15	high,school	qualifications high school education	1	education
15	high,school	high school education	1	education
15	high,school	formal education high school	1	education
15	high,school	of formal education high	1	education
15	high,school	education high	1	education
15	high,school	education high school	1	education
14	vocational,rehabilitation	local vocational educational rehabilitation	1	education
14	vocational,rehabilitation	vocational educational	1	education
14	vocational,rehabilitation	vocational educational rehabilitation	1	education
14	vocational,rehabilitation	treatment adherence vocational educational	1	education
14	vocational,rehabilitation	vocational educational and rehabilitative	1	education
14	vocational,rehabilitation	vocational educational rehabilitation and	1	education
14	vocational,rehabilitation	vocational educational rehabilitation programs	1	education
14	vocational,rehabilitation	vocational educational and	1	education
14	vocational,rehabilitation	adherence vocational educational rehabilitation	1	education
14	vocational,rehabilitation	local vocational educational	1	education
14	vocational,rehabilitation	the vocational educational and	1	education
14	vocational,rehabilitation	regarding local vocational educational	1	education
14	vocational,rehabilitation	assess the vocational educational	1	education
14	vocational,rehabilitation	adherence vocational educational	1	education
14	vocational,rehabilitation	the vocational educational	1	education
13	Unknown	education requirement therefore	1	education
13	Unknown	education physical requirements	1	education
13	Unknown	education development ged required	1	education
13	Unknown	education requirements bachelor	1	education
13	Unknown	education requirements you	1	education
13	Unknown	education requirement you will	1	education
13	Unknown	education requirement you	1	education
13	Unknown	education requirement therefore applicants	1	education
13	Unknown	required education certifications	1	education
13	Unknown	education program requirements	1	education
13	Unknown	education program requirements have	1	education
13	Unknown	education required not	1	education
13	Unknown	regular education required	1	education
