cluster_2	new_type	feature	cluster	type
14	Unknown	negotiation skills knowledge	6	knowledge
14	Unknown	level of knowledge skills	6	knowledge
14	Unknown	levels of knowledge skills	6	knowledge
14	Unknown	knowledge with organizational skills	6	knowledge
14	Unknown	appointments knowledge skills	6	knowledge
14	Unknown	knowledge skills and attributes	6	knowledge
14	Unknown	knowledge skills and behaviours	6	knowledge
14	Unknown	knowledge skills and competencies	6	knowledge
14	Unknown	knowledge skills and credentials	6	knowledge
14	Unknown	knowledge skills experience	6	knowledge
14	Unknown	knowledge skill set	6	knowledge
14	Unknown	plan database knowledge skills	6	knowledge
14	Unknown	knowledge skill andor	6	knowledge
14	Unknown	knowledge selling skills	6	knowledge
14	Unknown	knowledge selling skills and	6	knowledge
14	Unknown	employee skills and knowledge	6	knowledge
14	Unknown	and selling knowledge skills	6	knowledge
14	Unknown	building skills knowledge of	6	knowledge
14	Unknown	building skills knowledge	6	knowledge
14	Unknown	desirable knowledge skills	6	knowledge
14	Unknown	company knowledge skill	6	knowledge
14	Unknown	company knowledge skill set	6	knowledge
14	Unknown	and sales skills knowledge	6	knowledge
14	Unknown	desired knowledge skills	6	knowledge
14	Unknown	cleaning schedule knowledge skills	6	knowledge
14	Unknown	provided the knowledge skills	6	knowledge
14	Unknown	skills and knowledge training	6	knowledge
14	Unknown	customers business knowledge skills	6	knowledge
14	Unknown	skills include sales knowledge	6	knowledge
14	Unknown	minimum qualifications knowledge skills	6	knowledge
14	Unknown	negotiation skills knowledge and	6	knowledge
14	Unknown	store knowledge skills	6	knowledge
14	Unknown	degree preferred knowledge skills	6	knowledge
14	Unknown	and negotiation skills knowledge	6	knowledge
14	Unknown	navigation skills and knowledge	6	knowledge
14	Unknown	skills advanced knowledge of	6	knowledge
14	Unknown	skills knowledge of the	6	knowledge
14	Unknown	skills and pc knowledge	6	knowledge
14	Unknown	special knowledge or skills	6	knowledge
14	Unknown	presentation skills working knowledge	6	knowledge
14	Unknown	knowledge base and skill	6	knowledge
14	Unknown	time management skills knowledge	6	knowledge
14	Unknown	knowledge skills collaborate with	6	knowledge
14	Unknown	organizational skills knowledge	6	knowledge
